Is_Unreliable,Category,Tweet
0,,"Starting today, Ontario will update COVID-19 statistics twice daily, once at 10:30am, then again at 5:30pm"
0,,Festival cancellations could spiral after SXSW nixed due to COVID-19 fears
0,,BREAKING NEWS - the NBA has suspended their season after a player on the Utah Jazz tested positive for Covid-19
0,,"Ontario tells all long-term care homes to screen staff, visitors and residents for COVID-19"
0,,"No doubt many of you are following the news regarding COVID-19, originally known as the Novel Coronavirus. OCL is taking all recommended steps to ensure our approach is in-line with best practices, with a focus on keeping those in our care well."
0,,"UPDATED: Health officials are reporting the first case of COVID-19 in Peel Region, bringing the provincial total to 23."
0,,How do you talk to your kids about COVID-19 without scaring them (too much)?
0,,Coronavirus: Nasa images show China pollution clear amid #COVID2019 slowdown
0,,BBC News - Release of James Bond film No Time To Die delayed amid coronavirus fears
0,,South Korea's Centre for Disease Control says the number of people testing positive for coronavirus peaked on 29th Feb - 90
0,,"Italy coronavirus death toll soars by 133 in a day to 366, as millions adapt to widespread travel restrictions"
0,,Health minister Nadine Dorries says she has tested positive for coronavirus and is self-isolating
0,,Juventus have announced that Daniele Rugani has tested positive for coronavirus.
0,,"South Korea religious group identified as coronavirus hotbed, officials say, amid sharp rise in confirmed cases in the country"
0,,"Coronavirus cases in the UK have risen to 115 - with 25 of them in London, new figures show"
0,,"BREAKING: Harvard classes will move online starting March 23 due to a growing global coronavirus outbreak, University President"
0,,"Singularity University is hosting a FREE Virtual Summit March 16-18 to share facts, answer questions, and address your concerns around COVID-19—as well as the impact of outbreaks, epidemics, and pandemics."
0,,Coronavirus: how does it spread and what are the symptoms? Here’s everything we know about COVID-19
0,,Stanford just cancelled classes for the rest of the quarter. To those in DC proclaiming that the #COVID19 is contained
0,,"Tech conferences were cancelled in #Waterloo Region despite only one confirmed case of COVID-19 in the area. The True North had been scheduled in June. While virus cases in Canada are at 75 with one death, Ontario has 36 confirmed"
